feature,importance
hour_sin,0.10615382
wx_dfw_rain_total,0.07571542
wx_dfw_heavy_rain_hours,0.062077545
wx_dfw_poor_visibility_hours,0.032559834
wx_dfw_severe_weather_hours,0.030884618
wx_dfw_precip_total,0.025174525
inbound_arr_time,0.021055738
hour_cos,0.0203815
wx_b_month,0.016881285
wx_dfw_month,0.015616275
wx_b_precip_total,0.014736001
wx_dfw_dewpoint_mean,0.013874996
wx_dfw_temp_mean,0.013633889
wx_dfw_temp_min,0.013466118
wx_dfw_ifr_hours,0.013239227
wx_dfw_pressure_mean,0.012821398
wx_a_dewpoint_mean,0.012772361
wx_dfw_high_wind_hours,0.012717033
wx_dfw_fog_proxy_hours,0.012435018
wx_a_temp_min,0.01235947
wx_dfw_wind_gusts_max,0.012194025
wx_a_temp_mean,0.011681627
wx_dfw_wind_speed_max,0.011390401
wx_a_pressure_mean,0.011350696
wx_a_severe_weather_hours,0.011325638
wx_dfw_temp_max,0.010870948
wx_dfw_snow_depth_max,0.0108614145
wx_dfw_humidity_mean,0.010372177
month_cos,0.010082386
wx_a_heavy_rain_hours,0.010042931
wx_b_temp_min,0.009829961
wx_dfw_low_ceiling_hours,0.009710134
wx_dfw_cloud_cover_low_mean,0.009700229
wx_dfw_cloud_cover_mean,0.009542527
wx_dfw_wind_speed_mean,0.009390133
wx_a_month,0.009313408
wx_a_pressure_std,0.0089374455
dow_cos,0.008882037
wx_dfw_pressure_std,0.008744129
wx_a_snowfall_total,0.008587247
wx_a_temp_max,0.008523373
wx_a_wind_gusts_max,0.008227123
wx_a_heavy_snow_hours,0.008184283
wx_b_cloud_cover_mean,0.008098521
dow_sin,0.008053034
wx_a_rain_total,0.007836434
wx_a_humidity_mean,0.007558871
wx_a_wind_speed_max,0.007515461
wx_dfw_snowfall_total,0.0074563916
wx_a_precip_total,0.0071719387
wx_a_cloud_cover_low_mean,0.0071488135
wx_a_fog_proxy_hours,0.0068432544
delay_rate_15_b,0.006823773
wx_a_cloud_cover_mean,0.0067673405
outbound_dep_time,0.0067056674
wx_a_wind_speed_mean,0.0066635455
wx_b_dewpoint_mean,0.0064892876
wx_b_temp_mean,0.006082466
wx_a_poor_visibility_hours,0.005849499
wx_a_low_ceiling_hours,0.005840462
max_weather_risk,0.0052695326
cancellation_rate_a,0.005056097
wx_a_high_wind_hours,0.005030931
wx_a_snow_depth_max,0.004758418
wx_b_rain_total,0.004756383
wx_b_ifr_hours,0.0046408274
wx_b_wind_speed_max,0.004439674
joint_delay_15_prob,0.0041020648
wx_b_fog_proxy_hours,0.0040915743
weather_delay_rate_b,0.0040760143
wx_b_high_wind_hours,0.004008432
wx_a_ifr_hours,0.0039901654
wx_b_snow_depth_max,0.003661784
wx_b_heavy_rain_hours,0.0034858992
wx_b_wind_gusts_max,0.0033870316
wx_dfw_heavy_snow_hours,0.003373821
combined_weather_risk,0.003367685
connection_minutes,0.00298615
wx_b_cloud_cover_low_mean,0.0029338542
wx_b_pressure_mean,0.0028639303
wx_b_low_ceiling_hours,0.0028253263
wx_b_humidity_mean,0.002326442
wx_b_temp_max,0.0022509
wx_b_wind_speed_mean,0.0022244484
wx_b_poor_visibility_hours,0.002172213
delay_rate_15_a,0.0021350982
wx_b_pressure_std,0.0021235174
weather_delay_mean_a,0.0021146783
weather_delay_rate_a,0.0021091017
longitude_diff,0.002045554
month_sin,0.0019859527
cancellation_rate_b,0.0019317673
wx_b_snowfall_total,0.0019241059
weather_delay_mean_b,0.0018909689
wx_b_severe_weather_hours,0.0015156476
latitude_diff,0.001128498
conditional_delay_prob,0.0009816482
severe_weather_co_occurrence,0.00045561825
wind_correlation,0.00037316312
wx_a_fog_hours,0.0
wx_dfw_fog_hours,0.0
tornado_alley_pair,0.0
precip_correlation,0.0
wx_b_thunderstorm_hours,0.0
hurricane_pair,0.0
distance_ab,0.0
wx_b_fog_hours,0.0
winter_storm_pair,0.0
thunderstorm_co_occurrence,0.0
wx_dfw_freezing_rain_hours,0.0
wx_a_freezing_rain_hours,0.0
wx_b_heavy_snow_hours,0.0
wx_a_thunderstorm_hours,0.0
wx_dfw_thunderstorm_hours,0.0
joint_weather_delay_prob,0.0
wx_b_freezing_rain_hours,0.0
same_region,0.0
