season,rank,airport_a,airport_b,avg_risk,max_risk,geographic_pattern
Spring (Mar-May),1,IAH,MCO,76.04466652276194,87.91148491248086,Cross-region (South_Central / Southeast)
Spring (Mar-May),2,ATL,MCO,74.9024259776529,87.50438087600033,Same region (Southeast)
Spring (Mar-May),3,ORD,MCO,73.15496569016518,84.82769107530505,Cross-region (Midwest / Southeast)
Spring (Mar-May),4,LAX,MCO,72.49048335144116,81.1807511727128,Cross-region (Pacific / Southeast)
Spring (Mar-May),5,IAH,SAT,71.850500658876,87.28280881333527,Same region (South_Central)
Spring (Mar-May),6,LAX,DEN,71.49267656229388,85.90022036259427,Cross-region (Pacific / Mountain)
Spring (Mar-May),7,LAX,ATL,71.47119340643552,87.16585352466348,Cross-region (Pacific / Southeast)
Spring (Mar-May),8,DEN,MCO,71.2034947437532,85.60543362098909,Cross-region (Mountain / Southeast)
Spring (Mar-May),9,PHX,MCO,71.14081553038294,81.67682774044594,Cross-region (Mountain / Southeast)
Spring (Mar-May),10,IAH,AUS,70.88458084012426,84.73122026244145,Same region (South_Central)
Summer (Jun-Aug),1,ATL,MCO,84.20944527530153,93.12331357715986,Same region (Southeast)
Summer (Jun-Aug),2,LAS,MCO,84.12767212289431,93.55943541853239,Cross-region (Unknown / Southeast)
Summer (Jun-Aug),3,MCO,MIA,83.02460752875778,96.0749709208261,Same region (Southeast)
Summer (Jun-Aug),4,IAH,MCO,80.2966818749598,90.2817914171756,Cross-region (South_Central / Southeast)
Summer (Jun-Aug),5,ORD,MCO,78.5778731977994,84.03835561192624,Cross-region (Midwest / Southeast)
Summer (Jun-Aug),6,DEN,MCO,76.30287818649494,91.70870572571998,Cross-region (Mountain / Southeast)
Summer (Jun-Aug),7,LAX,MCO,75.90103523615713,86.4200098358461,Cross-region (Pacific / Southeast)
Summer (Jun-Aug),8,LAX,DEN,75.77859625449837,86.1664168103523,Cross-region (Pacific / Mountain)
Summer (Jun-Aug),9,MCO,CLT,75.63608623802048,76.41430750821986,Same region (Southeast)
Summer (Jun-Aug),10,PHX,MCO,75.26168965628675,83.46936053240684,Cross-region (Mountain / Southeast)
Fall (Sep-Nov),1,LAX,ORD,63.66814804674962,68.69537570878181,Cross-region (Pacific / Midwest)
Fall (Sep-Nov),2,LAX,LAS,60.758295751110204,61.51633639863047,Cross-region (Pacific / Unknown)
Fall (Sep-Nov),3,LAX,SFO,59.57044549075204,63.83520831149381,Same region (Pacific)
Fall (Sep-Nov),4,ATL,ORD,59.17090246137074,66.32730837190537,Cross-region (Southeast / Midwest)
Fall (Sep-Nov),5,LAX,MIA,58.62633996307448,64.72039573323373,Cross-region (Pacific / Southeast)
Fall (Sep-Nov),6,DEN,MCO,57.5233557081314,63.18789333807095,Cross-region (Mountain / Southeast)
Fall (Sep-Nov),7,LAX,PHX,56.77409676804746,60.830559913113376,Cross-region (Pacific / Mountain)
Fall (Sep-Nov),8,ATL,MIA,55.56657249515729,61.14219854906246,Same region (Southeast)
Fall (Sep-Nov),9,ORD,LAS,55.46853177314278,62.73529818338775,Cross-region (Midwest / Unknown)
Fall (Sep-Nov),10,ORD,MIA,55.116818124007885,57.43975760839704,Cross-region (Midwest / Southeast)
Winter (Dec-Feb),1,ORD,LGA,61.009968880998485,71.92544270257733,Cross-region (Midwest / Northeast)
Winter (Dec-Feb),2,LAX,ORD,60.90096998987164,70.45725984546223,Cross-region (Pacific / Midwest)
Winter (Dec-Feb),3,LAX,LAS,60.657434345106374,75.4285636072867,Cross-region (Pacific / Unknown)
Winter (Dec-Feb),4,DEN,MCO,59.90122147728106,74.50038119900069,Cross-region (Mountain / Southeast)
Winter (Dec-Feb),5,LAS,IAH,59.83673192867601,70.38149279513594,Cross-region (Unknown / South_Central)
Winter (Dec-Feb),6,LAX,SAN,59.444180713334845,81.4000244004885,Same region (Pacific)
Winter (Dec-Feb),7,XNA,LIT,58.74596099119916,81.43655636882698,Cross-region (Unknown / South_Central)
Winter (Dec-Feb),8,DEN,LAS,58.46089730568605,73.68546885610394,Cross-region (Mountain / Unknown)
Winter (Dec-Feb),9,LAX,MIA,58.45923628164445,71.07923855569088,Cross-region (Pacific / Southeast)
Winter (Dec-Feb),10,ORD,DEN,58.36777519905413,60.134131073233064,Cross-region (Midwest / Mountain)
